ticker,nome,setor,tipo,preco_brl,preco_usd,abertura,maxima,minima,volume,var_1d,var_1w,var_1m,var_ytd,var_5y,var_all,preco_1d_ago,preco_1w_ago,preco_1m_ago,preco_inicio_ano,preco_5y_ago,preco_all_time,market_cap,pe_ratio,forward_pe,pb_ratio,dividend_yield,eps,beta,week_52_high,week_52_low,pct_from_52w_high,ma_50,ma_200,rsi_14,above_ma_50,above_ma_200,ma_50_above_200,profit_margin,roe,debt_to_equity,analyst_rating,target_price,num_analysts,ibov_change_1d,ibov_change_ytd,sp500_change_1d,sp500_change_ytd,vs_ibov_1d,vs_ibov_1m,vs_ibov_ytd,vs_sp500_1d,vs_sp500_1m,vs_sp500_ytd,signal_golden_cross,signal_death_cross,signal_rsi_oversold,signal_rsi_overbought,signal_52w_high,signal_52w_low,signal_volume_spike,signal_summary,volatility_30d,avg_volume_20d,volume_ratio,news_sentiment_pt,news_sentiment_en,news_sentiment_combined,news_count_pt,news_count_en,news_headline_pt,news_headline_en,news_sentiment_label,data_cotacao,atualizado_em
META,Meta (Facebook),Tecnologia,stock,3410.44,656.89,639.11,663.35,638.78,9756269.0,2.68,2.68,-8.32,-8.32,154.98,2012.19,639.77,639.77,716.5,716.5,257.62,31.1,,,,,,,,,,,423.01,,47.5,1,,,,,,,,,-0.11,16.88,0.44,0.68,2.79,-17.92,-25.2,2.24,-8.56,-9.0,0,0,0,0,0,0,0,neutral,9.23,286601893.45,0.03,,,,,,,,,2026-02-20,2026-02-20 18:03:23
MSFT,Microsoft,Tecnologia,stock,2063.22,397.4,396.15,400.12,395.16,17393156.0,-0.98,-0.98,-0.98,-0.98,71.01,326902.83,401.32,401.32,401.32,401.32,232.38,0.12,,,,,,,,,,,208.23,,66.7,1,,,,,,,,,-0.11,16.88,0.44,0.68,-0.86,-10.58,-17.85,-1.41,-1.21,-1.66,0,0,0,0,0,0,0,neutral,10.55,1514832572.8,0.01,,,,,,,,,2026-02-20,2026-02-20 18:03:23
NVDA,NVIDIA,Tecnologia,stock,979.54,188.67,186.52,190.33,185.94,107672419.0,3.21,3.21,-1.29,-1.29,1275.7,412717.52,182.81,182.81,191.13,191.13,13.71,0.05,,,,,,,,,,,87.72,24.95,69.4,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,3.32,-10.89,-18.16,2.77,-1.52,-1.97,1,0,0,0,0,0,0,bullish,11.09,4450938475.95,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
POSI3,Positivo,Tecnologia,stock,4.08,0.79,4.05,4.12,4.0,816600.0,0.0,0.0,-9.33,-9.33,-9.33,-85.63,4.08,4.08,4.5,4.5,4.5,28.4,,,,,,,,,,,6.9,6.14,36.8,0,0,1,,,,,,,-0.11,16.88,0.44,0.68,0.11,-18.94,-26.21,-0.44,-9.57,-10.01,1,0,0,0,0,0,0,neutral,11.64,22808315.0,0.04,,,,,,,,,2026-02-20,2026-02-20 18:03:23
TOTS3,Totvs,Tecnologia,stock,38.9,7.49,38.54,39.13,38.39,2107700.0,2.29,2.29,-12.72,-12.72,24.27,1329.38,38.03,38.03,44.57,44.57,31.3,2.72,,,,,,,,,,,32.62,18.66,58.1,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,2.4,-22.33,-29.6,1.85,-12.96,-13.4,1,0,0,0,0,0,0,bullish,9.67,68573980.0,0.03,,,,,,,,,2026-02-20,2026-02-20 18:03:23
OIBR3,Oi ON,Telecomunicações,stock,0.16,0.03,0.0,0.16,0.16,0.0,-11.11,-11.11,-11.11,-11.11,-99.91,-100.0,0.18,0.18,0.18,0.18,188.0,6492.54,,,,,,,,,,,15.44,2815.09,5.4,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,-11.0,-20.72,-27.99,-11.55,-11.35,-11.79,0,1,1,0,0,0,0,bearish,24.39,98571108.9,0.0,,,,,,,,,2026-02-19,2026-02-20 18:03:23
TIMS3,TIM,Telecomunicações,stock,26.78,5.16,26.84,26.91,26.5,4121900.0,-1.87,-1.87,9.22,9.22,109.22,416.99,27.29,27.29,24.52,24.52,12.8,5.18,,,,,,,,,,,16.94,12.03,74.4,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,-1.75,-0.39,-7.66,-2.31,8.98,8.54,1,0,0,1,0,0,0,bullish,7.6,131738285.0,0.03,,,,,,,,,2026-02-20,2026-02-20 18:03:23
VIVT3,Telefônica Brasil,Telecomunicações,stock,40.57,7.81,40.52,40.74,39.95,1989700.0,-1.02,-1.02,8.53,8.53,84.41,133.16,40.99,40.99,37.38,37.38,22.0,17.4,,,,,,,,,,,25.81,21.94,76.4,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,-0.91,-1.07,-8.34,-1.46,8.3,7.86,1,0,0,1,0,0,0,bullish,7.11,96129755.0,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
CVCB3,CVC,Turismo,stock,2.37,0.46,2.33,2.4,2.32,13199800.0,-2.07,-2.07,-9.54,-9.54,-83.63,-79.82,2.42,2.42,2.62,2.62,14.48,11.74,,,,,,,,,,,3.71,,58.3,0,,,,,,,,,-0.11,16.88,0.44,0.68,-1.95,-19.15,-26.42,-2.5,-9.78,-10.22,0,0,0,0,0,0,0,neutral,16.35,356502280.0,0.04,,,,,,,,,2026-02-20,2026-02-20 18:03:23
ALPA4,Alpargatas,Varejo,stock,14.52,2.8,14.74,14.74,14.27,1151200.0,-3.39,-3.39,1.04,1.04,-58.4,361.38,15.03,15.03,14.37,14.37,34.9,3.15,,,,,,,,,,,11.85,13.74,88.2,1,1,0,,,,,,,-0.11,16.88,0.44,0.68,-3.28,-8.56,-15.83,-3.83,0.81,0.37,0,1,0,1,0,0,0,neutral,9.56,48851285.0,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
